,TickerID,Symbol,Name,Occurrence,Positive,Negative
265,913254691,VSLR,Vivint Solar,1,0,1
266,913254288,SIX,Six Flags Entmt,1,0,1
267,925335305,HEXO,HEXO Corp,6,3,3
268,913254389,LPI,Laredo Petroleum,4,3,1
269,913255440,JCPNQ,JC Penney,6,2,4
270,913255260,VAL,Valaris plc,5,2,3
271,913431404,CDEV,Centennial Rsrc,2,1,1
272,925178113,TELL,TELLURIAN,2,1,1
273,925336029,CHAP,Chaparral Energy,3,1,2
274,913255096,CIR,CIRCOR Intl,2,2,0
275,913255915,RWLK,Rewalk,2,2,0
276,925379743,ALNA,Allena,3,3,0
277,950109827,DELL,Dell Technologies Inc.,1,0,1
278,913247322,JDST,Direxion Daily Jr Gld Mnrs Bear 2X ETF,4,2,2
279,913254588,LADR,Ladder Capital,5,2,3
280,913257234,OSTK,Overstock com,17,14,3
281,925302871,CNTTQ,CANNTRUST HOLDINGS,10,10,0
282,950142406,DUO,FANGDD NETWORK GROUP LTD.,1,0,1
283,913915147,LSI,Life Storage,5,0,5
284,913323666,LTMAQ,Latam Airlines,8,6,2
285,913256038,NBRV,Nabriva,8,3,5
286,925179328,SGLB,Sigma Labs,3,3,0
287,950061748,CANG,Cango,1,0,1
288,913254839,GEL,Genesis Eny,1,0,1
289,913244652,MJ,ETFMG Alternative Harvest ETF,5,4,1
290,913253457,SRNE,Sorrento Thera,6,1,5
291,913253636,UAVS,AGEAGLE AERIAL,3,1,2
292,913254222,PLUG,Plug Power,6,3,3
293,913254382,TSE,Trinseo,1,1,0
294,913254828,COE,CHINA ONLINE,1,1,0
295,913323335,CUK,Carnival,1,0,1
296,913255459,KMB,Kimberly Clark,3,1,2
297,913256936,SOHO,Sotherly Hotels,2,1,1
298,925240580,AYTU,Aytu BioScience,20,11,9
299,925412021,BLOK,Amplify Transformational Data Shrg ETF,1,1,0
300,913324248,RCL,Royal Carib Crus,1,1,0
301,913255934,PLAY,DAVE BUSTERS ENT,2,1,1
302,913254678,MDLY,Medley Mgmt,5,1,4
303,925173508,YTEN,Yield10,1,0,1
304,950122955,IDYA,Ideaya Bioscienc,1,1,0
305,913253575,AEMD,Aethlon Med,3,1,2
306,925416163,BTAI,BIOXCEL THERAPEU,1,0,1
307,913253796,CLWT,Euro Tech Hldgs,2,1,1
308,913253666,JAN,JanOne Inc,1,1,0
309,913303896,MHH,MASTECH DIGITAL,1,1,0
310,913253595,STAF,Staffing 360,1,0,1
311,913253705,EVOL,Evolving Systems,1,0,1
312,913303725,VOLT,VOLT INFO SCI,1,0,1
313,913323093,PAACR,Metlife Inc,1,0,1
314,950136125,CLEU,CHINA LIBERAL EDUCATION,2,1,1
315,913253566,MYT,Urban Tea Inc,2,1,1
316,925401987,KXIN,Kaixin Auto Holdings,1,0,1
317,925344591,NEWA,Newater Tech,2,1,1
318,913323315,UONE,Urban One,4,1,3
319,913253594,COOP,Mr. Cooper,2,0,2
320,913256115,TPIC,TPI Composites,2,1,1
321,913256036,RUN,Sunrun,1,1,0
322,925173120,CEI,Camber Energy,3,2,1
323,925353979,PACD,Pacific Drilling,1,0,1
324,950106571,AGE,AgeX Therapeutics,1,0,1
325,950136925,MNPR,Monopar Therapeutics Inc,1,0,1
326,913255700,HEAR,Turtle Beach,1,0,1
327,913303951,HSTO,Conatus Pharmaceuticals,2,1,1
328,913303667,EMAN,EMAGIN,3,1,2
329,950069438,SFET,SAFE-T GROUP LTD.,2,0,2
330,913253507,ZSAN,Zosano Pharma,1,1,0
331,913323104,KTOV,Kitov Pharms,3,1,2
332,913253442,IPWR,Ideal Power,1,1,0
333,925303986,HMGN,Hemagen Diag,1,1,0
334,913253668,ARTW,Art's-Way Mf,1,0,1
335,925352531,ZKIN,ZK Intl Group,1,0,1
336,925402203,RETO,RETO ECO SOLN,1,0,1
337,950150837,MEDS,"TRXADE GROUP, INC.",1,0,1
338,913253573,ANIX,Anixa Biosciences Inc,1,0,1
339,913255716,RGLS,Regulus,1,0,1
340,913323022,BVXV,BiondVax,1,0,1
341,913323065,BNTC,Benitec Biopharma,1,0,1
342,925239668,DYAI,Dyadic,1,0,1
343,925412756,MNLO,MENLO THERAPEUTC,1,0,1
344,950143140,CNTG,CENTOGENE B.V.,1,0,1
345,913256215,CLDX,Celldex,1,0,1
346,913368679,CGL,iShares Gold Bullion ETF (CAD-Hedged),1,1,0
347,913253351,OSN,OSSEN INNOVATION,1,1,0
348,950102663,LOACR,Longevity Acquisition,1,0,1
349,913253605,WINS,Wins Fin Hldg,1,1,0
350,913254170,TSRI,TSR Inc,1,0,1
351,913255984,MFH,Mercurity Fintech Holding,1,0,1
352,925117213,LLIT,Lianluo Smart,1,0,1
353,913323107,ANDAR,Andina Acqsn 3,1,0,1
